HHI,alpha,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
2.1354157081909486,0.5,0.9999891779524265,0.13497449713429982,5211.0,100.0,37,2237,8.468509880890853,0.0,0.002231344403355852,4061489.0
2.192084555776037,0.5,0.9999889156941804,0.13501383477482107,5075.0,100.0,38,2238,8.442352876715766,0.0,0.0022914908038242352,3977342.0
2.1698270171916887,0.5,0.9999890103458537,0.1345443377463804,5128.0,100.0,39,2239,8.452201372307849,0.0,0.002266010883238013,4011829.0
2.136181406167731,0.5,0.9999890844421349,0.13627466717769948,5214.0,100.0,40,2240,8.468556811046312,0.0,0.0022337928468580954,4037348.0
2.1570644968559503,0.5,0.9999891001965098,0.13518623152521317,5157.0,100.0,41,2241,8.458837819370354,0.0,0.002255690996345971,3998652.0
2.1062684794820217,0.5,0.9999892024350276,0.13648277096923367,5290.0,100.0,42,2242,8.482776294717029,0.0,0.002202135561597137,4120515.0
2.111705581716181,0.5,0.9999891993449385,0.13681915826351662,5275.0,100.0,43,2243,8.48032224130834,0.0,0.002209779701456565,4020189.0
2.094991819306049,0.5,0.9999894635556389,0.1340975236297574,5307.0,100.0,44,2244,8.487676608886385,0.0,0.002188659841998944,4122717.0
2.1485540239580487,0.5,0.9999890765967284,0.13565304720166216,5181.0,100.0,45,2245,8.462589600153972,0.0,0.0022463535237331974,4000949.0
2.1668756481996105,0.5,0.9999889870868968,0.13574239598468127,5137.0,100.0,46,2246,8.454298360370206,0.0,0.0022659057529923763,3949092.0
2.1547342438817436,0.5,0.9999890852819471,0.13484543160679843,5164.0,100.0,47,2247,8.459767913481208,0.0,0.0022512415716862267,4006356.0
2.1124333635423014,0.5,0.9999893430125623,0.1344722376919025,5265.0,100.0,48,2248,8.479306089442215,0.0,0.002207120753633023,4126716.0
2.1345596973779446,0.5,0.9999892576087402,0.13485205208877946,5209.0,100.0,49,2249,8.469276643855181,0.0,0.0022323572051502903,4035187.0
2.1230879351280807,0.7,0.9999849687138279,0.13498978642067974,5240.0,100.0,0,3200,8.474551467889022,0.0,0.00221919957538775,4091511.0
2.153854350843425,0.7,0.9999846498876345,0.1355025412866549,5169.0,100.0,1,3201,8.460304624081536,0.0,0.0022508749463556856,4033954.0
2.0842337926451218,0.7,0.9999851869558474,0.1352815551797946,5340.0,100.0,2,3202,8.493293754533259,0.0,0.0021783027908239406,4157516.0
2.123492056053718,0.7,0.9999848639685545,0.13576150418204563,5243.0,100.0,3,3203,8.474361672903349,0.0,0.0022200256740289035,4090863.0
2.137202212542611,0.7,0.9999846210333829,0.13622379177658595,5215.0,100.0,4,3204,8.468118997616386,0.0,0.0022326959230279304,4079031.0
2.148865348805284,0.7,0.9999847115592054,0.13593463310405188,5180.0,100.0,5,3205,8.462862552585374,0.0,0.0022477823855007522,3966922.0
2.084678778179583,0.7,0.9999851067148147,0.1352772846735647,5342.0,100.0,6,3206,8.492643183947935,0.0,0.002177068884651408,4196546.0
2.145904418930253,0.7,0.999984866700795,0.13450353469428905,5182.0,100.0,7,3207,8.463606253927194,0.0,0.0022427586129076266,4038761.0
2.2031675552867305,0.7,0.9999844439173665,0.13412375979718358,5048.0,100.0,8,3208,8.43701602846935,0.0,0.0023008309495899837,3960367.0
2.1658831362792044,0.7,0.9999845189184795,0.13570864837438357,5142.0,100.0,9,3209,8.454776604714278,0.0,0.0022631552401085296,4009360.0
2.1636137557360007,0.7,0.999984598414541,0.13535595133953768,5145.0,100.0,10,3210,8.455420150526187,0.0,0.0022610058722790497,3985940.0
2.1443223998724164,0.7,0.999984561590562,0.13783087001789557,5198.0,100.0,11,3211,8.46541836460196,0.0,0.0022455295382342827,4016071.0
2.164531810984685,0.7,0.9999848256973503,0.13287174414605468,5134.0,100.0,12,3212,8.454681104775517,0.0,0.002258541078697859,4019965.0
2.128828568443693,0.7,0.9999848478618761,0.13533241484600225,5229.0,100.0,13,3213,8.471847833996717,0.0,0.0022246215237027,4075854.0
2.1388869308599405,0.7,0.9999848385804283,0.13466566327546334,5202.0,100.0,14,3214,8.467165589452316,0.0,0.002234199762469606,4074753.0
2.1069202497291606,0.7,0.9999850884683026,0.13545521913438294,5280.0,100.0,15,3215,8.482443100718157,0.0,0.0022040196734503677,4049371.0
2.186528925397032,0.7,0.999984491458073,0.13440468380419526,5089.0,100.0,16,3216,8.444893242823866,0.0,0.0022828392948224412,3996418.0
2.0980458216705773,0.7,0.9999850351871619,0.1357563889081497,5307.0,100.0,17,3217,8.486332707361631,0.0,0.002193181385724596,4141341.0
2.156997590386228,0.7,0.9999845872216369,0.13618698741875665,5163.0,100.0,18,3218,8.458983749692344,0.0,0.0022556713899125236,4015426.0
2.158108858251863,0.7,0.9999845356870144,0.1361613650134836,5162.0,100.0,19,3219,8.45837609452104,0.0,0.0022557496540500624,3992607.0
2.1399123046216304,0.7,0.9999847409227188,0.136419513890689,5203.0,100.0,20,3220,8.467105717897608,0.0,0.002239314702722388,4036916.0
