HHI,average_first_publish_to_top10_days,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,season_length_days,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
2.1418239028570696,9000.0,0.9999890419965114,0.13561981755426492,5201.0,100.0,31,90,2331,8.465664535460151,0.0,0.002237042167726408,4072003.0
2.1344982513115816,9000.0,0.9999891870157522,0.13497875009984917,5213.0,100.0,32,90,2332,8.46941415138458,0.0,0.0022304553440604478,4108993.0
2.1952475701415617,9000.0,0.9999888352391713,0.13502238108476397,5071.0,100.0,33,90,2333,8.441140096110658,0.0,0.00229278348055786,3973015.0
2.1792746149410993,9000.0,0.9999888813897213,0.1357645645255132,5110.0,100.0,34,90,2334,8.44822544797264,0.0,0.002277652769695528,3994492.0
2.1309832265806046,9000.0,0.9999891241672494,0.13568549567856977,5226.0,100.0,35,90,2335,8.47112000120378,0.0,0.002226751018101019,4077301.0
2.1129358733337393,9000.0,0.9999892998448523,0.13476297486132935,5266.0,100.0,36,90,2336,8.479241468121392,0.0,0.002207361917189663,4133593.0
2.1027755287865877,9000.0,0.9999892343695425,0.13713528783804949,5298.0,100.0,37,90,2337,8.484873758347566,0.0,0.0022011311668203924,4065350.0
2.153813292340712,9000.0,0.9999890189499482,0.13422175841288417,5170.0,100.0,38,90,2338,8.45963552390423,0.0,0.002245930956327848,4117892.0
2.165752015054227,9000.0,0.9999889297071664,0.13767550472486673,5143.0,100.0,39,90,2339,8.455399651182422,0.0,0.0022695881173673245,3946618.0
2.1450800237979943,9000.0,0.9999891572700178,0.1350049194619303,5186.0,100.0,40,90,2340,8.464182907256204,0.0,0.0022424192008078645,4014795.0
2.116067591896212,9000.0,0.9999892334819558,0.1345197265701785,5261.0,100.0,41,90,2341,8.47733960415445,0.0,0.00220830349340902,4149665.0
2.087880803514666,9000.0,0.9999893949478609,0.13546631613453183,5331.0,100.0,42,90,2342,8.49113021899387,0.0,0.0021825944113027505,4134262.0
2.1482601650863,9000.0,0.9999889796396586,0.137054747714197,5187.0,100.0,43,90,2343,8.463096936084987,0.0,0.0022478421088935907,4027069.0
